sha256,pkg_name,year,label,old_split,new_split,source_split
0005e35076402af3e3885353678dc124a54fc8166e64d6f8d576361be234bf1d,com.yd.yylsb,2023,0,train,train,test
0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406,me.rhmipkji.hmjtks.pqvk,2022,1,train,train,val
0016913e62a2799a14ec9e2d67fb539de5305fb3d1855817befaabe49de9bdb3,sr.developers.alllanguagecameratranslatorpro,2019,0,train,train,train
0017dfd58a2afc9080400378569a5267b561184fb6be77b8c99a5ee6461ea9da,com.connect_computer.sharons,2022,0,test,val,val
001947cfa0b4b6dadda771ca3535b882304816e1e03998eb05ceafb037e8fa61,com.icrtouch.tta.woodlandholidaypark,2023,0,train,train,test
0019ce6519cec536bfe684a32bba58377ff2b4064b039d259f4d1bac9425f100,com.albari.agentapp,2020,0,train,train,train
0019f9847c708ea11ebe24a40bd476055c8cce3291164a3a91f68df3deaf0d57,com.vlocker.theme5975f3194e3d40ed058b45bb,2019,1,test,test,train
001a31e031088c74a1ca010ca86e508adbaf20607048cec8364a87747bb2322b,com.mass.wallpaper.pro,2021,1,test,test,train
00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8,com.jjyyh.woel.smk,2022,1,train,train,val
00245d7bbbeeb88ba18de4df5a98d54f37b156f124b0e63db2bee2ac168a7a78,com.jieshun.jscarlife,2022,1,train,train,val
0024bfc367926f6a20a6c9d060795a3423aece6df6a52ec77548ab4a59029c06,com.zaoquanapp.jefv,2020,1,val,val,train
0036e6adfea0017109ba482b7e21c8a9fd643d2c0331c0634276fc46bb72a6c4,fanbing.bingcha.oliumei.fayuan,2020,1,train,train,train
00393e852a16ade1b6d6a4f6aac6b5233acf5453ff4489daf3faf6d9ab394047,com.ahuxueshu,2021,1,test,test,train
004190cfe06cf9e580c0b7196f5b7a44dee95858d359204c21737cf42252c12b,com.xuexue.babywrite,2024,0,train,val,test
0042b66c80f4024471f0bd339970712e9a78c6b412b8a7744a5309b444289518,com.taobao.meipingmi,2021,1,train,train,train
004b08bafe886fe712a34c1668797c5d921def315cee32c6de7c26515e44e5dc,com.appbyme.app146819,2021,1,test,test,train
004be79af1ee5de52a093c1f2ad600ea2e46beb2ffea3fc46cb15e9b9204e8f5,com.Magician.ColorSpinningDart,2021,0,train,train,train
004d79c1b12213291bd1e355e51eece69b803f31fc796a4342faac1ec57420b9,com.ram.mobilephonephotoframes,2019,0,test,test,train
00511790eae84f1cf121eff7964414d0be0fd886334aed282276fa0ada9ab570,com.came.thermosg,2024,0,train,train,test
0053c285750b50f87c38dd3c60a086f831300253f4d9b742b8e8dd732c4060dd,com.romiro.shakilamusic,2019,0,train,train,train
006444de6629ed05f7f7cf7a360bd8e0a91e77e67d8da32fb803ec771e322ddb,com.ugoodtech.goodcareasyloan,2020,1,train,train,train
0066908dfdf79188908d05dcf743d7b71e011cfbc91bd2e84a7bf8959d7629da,ac.chilli,2023,0,train,train,test
008250a4fc6f01efbd24a678fe1dc6793f897e103b88d8f37d2e179f118269bc,com.nyaoon.marimba,2024,0,train,train,test
0088072af69bd65c6db34637cdd48d2e90c3ec0998fd21485ec2a73697403ed8,com.teanapps.jamtimefree,2021,0,train,train,train
